"","rfpreds$predictions"
"Shane Lowry",43.7379
"Joost Luiten",58.7707333333333
"Bill Lunde",71.5982333333333
"Bob Lunn",89.4125666666667
"Mark Lye",81.2350333333334
"Sandy Lyle",82.5872
"David Lynn",77.5383666666666
"Will MacKenzie",84.1912
"Andrew Magee",89.6940666666667
"Jeff Maggert",90.4353666666666
"John Mahaffey",91.3449333333334
"Hunter Mahan",76.6309
"Peter Malnati",61.2096
"Roger Maltbie",85.2268
"Matteo Manassero",57.9597333333333
"Fred Marti",86.1827333333333
"Ben Martin",64.3050333333333
"Daisuke Maruyama",70.3937666666667
"Shigeki Maruyama",82.1544000000001
"Rik Massengale",75.8984666666667
"Dick Mast",96.0477333333333
"Hideki Matsuyama",52.0863
"Troy Matteson",81.8816000000001
"Len Mattiace",64.0608666666667
"Billy Maxwell",34.3054979386845
"Billy Mayfair",71.9034999999999
"Blaine McCallister",86.6583666666666
"Bob McCallister",30.0511181469627
"Scott McCarron",78.1502
"Denny McCarthy",52.8445666666667
"Gary McCord",79.7041333333333
"Mike McCullough",85.6255333333333
"Mark McCumber",88.5575666666667
"Tyler McCumber",50.2499666666667
"Graeme McDowell",71.6928
"Jerry McGee",75.5878
"William McGirt",83.0637
"Jim McGovern",107.972366666667
"Pat McGowan",79.9341333333333
"Rory McIlroy",52.2518666666667
"Parker McLachlin",93.7379666666667
"Mac McLendon",66.9565333333333
"Maverick McNealy",66.7117333333334
"George McNeill",71.1752666666667
"Spike McRoy",95.1828666666667
"Rocco Mediate",72.8972333333333
"Prom Meesawat",69.8884333333333
"John Merrick",70.9554
"Troy Merritt",66.0709333333333
"Shaun Micheel",85.0358333333333
"Phil Mickelson",67.1348
"Cary Middlecoff",64.1457877309709
"Allen Miller",87.7444333333333
"Johnny Miller",83.2842333333334
"Jeff Mitchell",91.6105666666666
"Keith Mitchell",84.4785
"Larry Mize",71.1674
"Bryce Molder",79.3719666666666
"Edoardo Molinari",72.1930666666667
"Francesco Molinari",55.7117666666666
"Ryan Moore",56.5387666666667
"Gil Morgan",68.7201
"Collin Morikawa",38.8882
"Alan Morin",90.7639666666666
"Mike Morley",49.4453333333333
"James Morrison",95.5911666666666
"John Morse",78.5124666666666
"Jodie Mudd",92.6118666666667
"Trey Mullinax",82.1668666666667
"Bob Murphy",70.5444666666666
"Grayson Murray",60.8308666666667
"Toshinori Muto",88.6478
"Sebastián Muñoz",51.5429666666667
"Kevin Na",49.7180666666667
"Jim Nelford",90.6946666666667
"Larry Nelson",93.1644333333334
"Matthew NeSmith",56.5034333333334
"Dwight Nevil",89.4070333333334
"Jack Newton",75.1414999999999
"Bobby Nichols",84.5026
"Jack Nicklaus",93.8446666666667
"Mike Nicolette",102.841266666667
"Joaquin Niemann",31.9821333333333
"Tom Nieporte",78.8448666666667
"Frank Nobilo",84.5284333333333
"Seung-Yul Noh",69.8288
"Alex Noren",58.0564666666667
"Henrik Norlander",55.0802
"Greg Norman",50.2258
"Tim Norris",70.6552666666667
"Andy North",89.9142333333334
"Mac O'Grady",95.4785333333333
"Sean O'Hair",65.8912666666667
"Mark O'Meara",54.5488666666667
"Arron Oberholser",103.862666666667
"Koumei Oda",81.0426333333333
"Joe Ogilvie",89.7746666666667
"Geoff Ogilvy",77.1922333333333
"David Ogrin",103.5492
"José María Olazábal",75.8973
"Thorbjørn Olesen",56.2483666666667
"Peter Oosterhuis",89.3095
"Louis Oosthuizen",45.8217666666667
"Rob Oppenheim",60.3671333333333
"Carlos Ortiz",53.6685
"Adrian Otaegui",53.3496
"Hennie Otto",64.0610666666667
"Jeff Overton",77.5315
"Roy Pace",67.7173119565217
"Arnold Palmer",88.1283666666667
"Ryan Palmer",41.5039666666667
"Rod Pampling",84.2343
"Cheng Tsung Pan",52.6813666666667
"Sung Joon Park",80.3539333333333
"Jesper Parnevik",83.2829666666666
"Craig Parry",84.2781
"Jerry Pate",102.232766666667
"Steve Pate",82.4962
"Dennis Paulson",73.5863666666667
"Corey Pavin",71.6354666666666
"Calvin Peete",82.0027333333334
"David Peoples",80.2228333333333
"Eddie Pepperell",65.5098333333333
"Cameron Percy",54.2485666666667
"Pat Perez",51.9563666666666
"Victor Perez",50.3111666666667
"Craig Perks",89.3518
"Tom Pernice Jr.",105.1682
"Chris Perry",88.4919666666667
"Kenny Perry",72.6827
"Tim Petrovic",80.3791666666667
"Carl Pettersson",83.5414666666667
"Mark Pfeil",112.215033333333
"Scott Piercy",67.4898
"Thomas Pieters",47.4282333333333
"Gary Player",77.6269
"Dan Pohl",88.6613333333334
"D.A. Points",75.3708666666667
"Don Pooley",85.3161
"J.T. Poston",53.5502666666667
"Johnny Pott",75.4280666666667
"Ted Potter, Jr.",56.4678333333333
"Ian Poulter",54.1258
"Seamus Power",63.1604
"Greg Powers",84.3970333333334
"Nick Price",107.075766666667
"Dicky Pride",85.7001666666667
"Ted Purdy",91.1276666666666
"Tom Purtzer",81.6707666666667
"Andrew Putnam",48.1660666666667
"Brett Quigley",91.6632333333334
"Alvaro Quiros",62.6777666666667
"Jon Rahm",27.7160333333333
"Richie Ramsay",59.3509
"Sam Randolph",91.1732
"Chez Reavie",56.5489
"Doc Redman",59.2448
"Victor Regalado",76.4126666666667
"Mike Reid",87.9724666666667
"Steve Reid",70.8522321190396
"Jean-Francois Remesy",65.9305666666667
"Jack Renner",98.7918666666667
"Chris Riley",100.298166666667
"Larry Rinker",83.9786666666667
"Wes Roach",69.0207666666666
"Loren Roberts",92.435
"Robert Rock",83.2945333333333
"Patrick Rodgers",60.5002333333333
"Chi Chi Rodriguez",63.9870333333333
"Bill Rogers",73.7903666666667
"John Rollins",83.2863
"Andres Romero",59.2798666666667
"Clarence Rose",81.3808998181083
"Justin Rose",46.2155333333334
"Dave Rummells",93.7374333333333
"Sam Ryder",55.9630666666667
"Rory Sabbatini",59.1711
"Bill Sander",63.0613666666667
"Gene Sarazen",51.853964775379
